BenchmarkName,State,NextState,Action,CommandLine,Reward
benchmark://poj104-v0/28_982,1766888.0 1065151.0 0.54 1606893.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 62.0 62.0 25870.0 95059.0 23338.0 692628.0 13267.0 7829.0 425803.0 328773.0 8915.0 8915.0 328827.0 1344.0 5424.0 120.0 29.0,1766888.0 1065151.0 0.54 1606893.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 62.0 62.0 25870.0 95059.0 23338.0 692628.0 13267.0 7829.0 425803.0 328773.0 8915.0 8915.0 328827.0 1344.0 5424.0 120.0 29.0,-constmerge,opt -reg2mem -instnamer -coro-cleanup -reassociate -die -lcssa -flattencfg -lower-guard-intrinsic -deadargelim -speculative-execution -ee-instrument -loop-interchange -loop-guard-widening -rewrite-statepoints-for-gc -cross-dso-cfi -loop-unswitch -inject-tli-mappings -insert-gcov-profiling -ipsccp -loop-unroll-and-jam -aggressive-instcombine -loop-vectorize -prune-eh -lower-matrix-intrinsics -float2int -loweratomic -alignment-from-assumptions -coro-elide -constmerge input.bc -o output.bc,0.0
benchmark://poj104-v0/28_982,1766888.0 1065151.0 0.54 1606893.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 62.0 62.0 25870.0 95059.0 23338.0 692628.0 13267.0 7829.0 425803.0 328773.0 8915.0 8915.0 328827.0 1344.0 5424.0 120.0 29.0,1766888.0 1065151.0 0.54 1606893.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 62.0 62.0 25870.0 95059.0 23338.0 692628.0 13267.0 7829.0 425803.0 328773.0 8915.0 8915.0 328827.0 1344.0 5424.0 120.0 29.0,-loop-unroll-and-jam,opt -reg2mem -instnamer -coro-cleanup -reassociate -die -lcssa -flattencfg -lower-guard-intrinsic -deadargelim -speculative-execution -ee-instrument -loop-interchange -loop-guard-widening -rewrite-statepoints-for-gc -cross-dso-cfi -loop-unswitch -inject-tli-mappings -insert-gcov-profiling -ipsccp -loop-unroll-and-jam -aggressive-instcombine -loop-vectorize -prune-eh -lower-matrix-intrinsics -float2int -loweratomic -alignment-from-assumptions -coro-elide -licm -loop-unroll-and-jam input.bc -o output.bc,0.0
benchmark://poj104-v0/28_982,1766888.0 1065151.0 0.54 1606893.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 62.0 62.0 25870.0 95059.0 23338.0 692628.0 13267.0 7829.0 425803.0 328773.0 8915.0 8915.0 328827.0 1344.0 5424.0 120.0 29.0,1766888.0 1065151.0 0.54 1606893.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 62.0 62.0 25870.0 95059.0 23338.0 692628.0 13267.0 7829.0 425803.0 328773.0 8915.0 8915.0 328827.0 1344.0 5424.0 120.0 29.0,-barrier,opt -reg2mem -instnamer -coro-cleanup -reassociate -die -lcssa -flattencfg -lower-guard-intrinsic -deadargelim -speculative-execution -ee-instrument -loop-interchange -loop-guard-widening -rewrite-statepoints-for-gc -cross-dso-cfi -loop-unswitch -inject-tli-mappings -insert-gcov-profiling -ipsccp -loop-unroll-and-jam -aggressive-instcombine -loop-vectorize -prune-eh -lower-matrix-intrinsics -float2int -loweratomic -alignment-from-assumptions -coro-elide -licm -barrier input.bc -o output.bc,0.0
benchmark://poj104-v0/28_982,1766888.0 1065151.0 0.54 1606893.0 0.0 0.0 0.0 0.56 0.0 0.0 0.0 62.0 62.0 25870.0 95059.0 23338.0 692628.0 13267.0 7829.0 425803.0 328773.0 8915.0 8915.0 328827.0 1344.0 5424.0 120.0 29.0,1996478.0 1154732.0 0.57 1604811.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 62.0 62.0 26190.0 99545.0 18211.0 693119.0 3917.0 7065.0 417366.0 328234.0 8054.0 8054.0 328288.0 1249.0 5225.0 118.0 21.0,-insert-gcov-profiling,opt -dse -float2int -callsite-splitting -correlated-propagation -loop-unroll -insert-gcov-profiling input.bc -o output.bc,0.0
benchmark://poj104-v0/28_982,1996478.0 1154732.0 0.57 1604811.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 62.0 62.0 26190.0 99545.0 18211.0 693119.0 3917.0 7065.0 417366.0 328234.0 8054.0 8054.0 328288.0 1249.0 5225.0 118.0 21.0,1996478.0 1154732.0 0.57 1604811.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 62.0 62.0 26190.0 99545.0 18211.0 693119.0 3917.0 7065.0 417366.0 328234.0 8054.0 8054.0 328288.0 1249.0 5225.0 118.0 21.0,-lowerswitch,opt -dse -float2int -callsite-splitting -correlated-propagation -loop-unroll -lowerswitch input.bc -o output.bc,0.0
benchmark://poj104-v0/28_982,1996478.0 1154732.0 0.57 1604811.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 62.0 62.0 26190.0 99545.0 18211.0 693119.0 3917.0 7065.0 417366.0 328234.0 8054.0 8054.0 328288.0 1249.0 5225.0 118.0 21.0,1996478.0 1154732.0 0.57 1604811.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 62.0 62.0 26190.0 99545.0 18211.0 693119.0 3917.0 7065.0 417366.0 328234.0 8054.0 8054.0 328288.0 1249.0 5225.0 118.0 21.0,-simplifycfg,opt -dse -float2int -callsite-splitting -correlated-propagation -loop-unroll -insert-gcov-profiling -simplifycfg input.bc -o output.bc,0.0
benchmark://poj104-v0/28_982,1996478.0 1154732.0 0.57 1604811.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 62.0 62.0 26190.0 99545.0 18211.0 693119.0 3917.0 7065.0 417366.0 328234.0 8054.0 8054.0 328288.0 1249.0 5225.0 118.0 21.0,1996478.0 1154732.0 0.57 1604811.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 62.0 62.0 26190.0 99545.0 18211.0 693119.0 3917.0 7065.0 417366.0 328234.0 8054.0 8054.0 328288.0 1249.0 5225.0 118.0 21.0,-coro-elide,opt -dse -float2int -callsite-splitting -correlated-propagation -loop-unroll -insert-gcov-profiling -coro-elide input.bc -o output.bc,0.0
benchmark://poj104-v0/93_1559,1996478.0 1154732.0 0.57 1604811.0 0.0 0.0 0.0 0.54 0.0 0.0 0.0 62.0 62.0 26190.0 99545.0 18211.0 693119.0 3917.0 7065.0 417366.0 328234.0 8054.0 8054.0 328288.0 1249.0 5225.0 118.0 21.0,1960071.0 1125602.0 0.52 1599478.0 0.0 0.0 0.0 0.5 0.0 0.0 0.0 61.0 61.0 25919.0 94174.0 16520.0 694567.0 3836.0 7746.0 430146.0 328769.0 8852.0 8852.0 328823.0 1085.0 5115.0 119.0 19.0,-loop-data-prefetch,opt -loop-versioning-licm -early-cse -loop-interchange -sroa -loop-simplifycfg -mergefunc -correlated-propagation -mergereturn -insert-gcov-profiling -attributor -break-crit-edges -loweratomic -functionattrs -ee-instrument -nary-reassociate -loop-sink -bdce -canonicalize-aliases -tailcallelim -reg2mem -indvars -rpo-functionattrs -loop-guard-widening -coro-cleanup -loop-data-prefetch input.bc -o output.bc,0.0
benchmark://poj104-v0/93_1559,1960071.0 1125602.0 0.52 1599478.0 0.0 0.0 0.0 0.5 0.0 0.0 0.0 61.0 61.0 25919.0 94174.0 16520.0 694567.0 3836.0 7746.0 430146.0 328769.0 8852.0 8852.0 328823.0 1085.0 5115.0 119.0 19.0,1960071.0 1125602.0 0.52 1599478.0 0.0 0.0 0.0 0.5 0.0 0.0 0.0 61.0 61.0 25919.0 94174.0 16520.0 694567.0 3836.0 7746.0 430146.0 328769.0 8852.0 8852.0 328823.0 1085.0 5115.0 119.0 19.0,-mem2reg,opt -loop-versioning-licm -early-cse -loop-interchange -sroa -loop-simplifycfg -mergefunc -correlated-propagation -mergereturn -insert-gcov-profiling -attributor -break-crit-edges -loweratomic -functionattrs -ee-instrument -nary-reassociate -loop-sink -bdce -canonicalize-aliases -tailcallelim -reg2mem -indvars -rpo-functionattrs -loop-guard-widening -coro-cleanup -mem2reg input.bc -o output.bc,0.0
benchmark://poj104-v0/93_1559,1960071.0 1125602.0 0.52 1599478.0 0.0 0.0 0.0 0.5 0.0 0.0 0.0 61.0 61.0 25919.0 94174.0 16520.0 694567.0 3836.0 7746.0 430146.0 328769.0 8852.0 8852.0 328823.0 1085.0 5115.0 119.0 19.0,1960071.0 1125602.0 0.52 1599478.0 0.0 0.0 0.0 0.5 0.0 0.0 0.0 61.0 61.0 25919.0 94174.0 16520.0 694567.0 3836.0 7746.0 430146.0 328769.0 8852.0 8852.0 328823.0 1085.0 5115.0 119.0 19.0,-consthoist,opt -loop-versioning-licm -early-cse -loop-interchange -sroa -loop-simplifycfg -mergefunc -correlated-propagation -mergereturn -insert-gcov-profiling -attributor -break-crit-edges -loweratomic -functionattrs -ee-instrument -nary-reassociate -loop-sink -bdce -canonicalize-aliases -tailcallelim -reg2mem -indvars -rpo-functionattrs -loop-guard-widening -coro-cleanup -loop-data-prefetch -consthoist input.bc -o output.bc,0.0
