BenchmarkName, PrevState, State, Action, PrevActions, Reward
benchmark://poj104-small-v0/1_17,2610132.0 1140131.0 0.55 1754962.0 0.0 0.0 0.0 0.75 0.0 0.0 0.0 61.0 61.0 26873.0 119375.0 17028.0 773589.0 5804.0 8000.0 445009.0 359541.0 9478.0 9478.0 359595.0 1056.0 4834.0 122.0 15.0,2610132.0 1140131.0 0.55 1754962.0 0.0 0.0 0.0 0.75 0.0 0.0 0.0 61.0 61.0 26873.0 119375.0 17028.0 773589.0 5804.0 8000.0 445009.0 359541.0 9478.0 9478.0 359595.0 1056.0 4834.0 122.0 15.0,-dce,opt -reassociate -loop-instsimplify -instnamer -inject-tli-mappings -licm -partially-inline-libcalls -prune-eh -constmerge -nary-reassociate -ipconstprop -gvn-hoist -separate-const-offset-from-gep -lcssa -adce -instsimplify -loop-rotate -aggressive-instcombine -die -float2int -loop-unroll-and-jam -inferattrs -forceattrs -mem2reg -deadargelim -callsite-splitting -name-anon-globals -functionattrs -pgo-memop-opt -dce input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,2610132.0 1140131.0 0.55 1754962.0 0.0 0.0 0.0 0.75 0.0 0.0 0.0 61.0 61.0 26873.0 119375.0 17028.0 773589.0 5804.0 8000.0 445009.0 359541.0 9478.0 9478.0 359595.0 1056.0 4834.0 122.0 15.0,2610132.0 1140131.0 0.55 1754962.0 0.0 0.0 0.0 0.75 0.0 0.0 0.0 61.0 61.0 26873.0 119375.0 17028.0 773589.0 5804.0 8000.0 445009.0 359541.0 9478.0 9478.0 359595.0 1056.0 4834.0 122.0 15.0,-load-store-vectorizer,opt -reassociate -loop-instsimplify -instnamer -inject-tli-mappings -licm -partially-inline-libcalls -prune-eh -constmerge -nary-reassociate -ipconstprop -gvn-hoist -separate-const-offset-from-gep -lcssa -adce -instsimplify -loop-rotate -aggressive-instcombine -die -float2int -loop-unroll-and-jam -inferattrs -forceattrs -mem2reg -deadargelim -callsite-splitting -name-anon-globals -functionattrs -pgo-memop-opt -dce -load-store-vectorizer input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,2610132.0 1140131.0 0.55 1754962.0 0.0 0.0 0.0 0.75 0.0 0.0 0.0 61.0 61.0 26873.0 119375.0 17028.0 773589.0 5804.0 8000.0 445009.0 359541.0 9478.0 9478.0 359595.0 1056.0 4834.0 122.0 15.0,2610132.0 1140131.0 0.55 1754962.0 0.0 0.0 0.0 0.75 0.0 0.0 0.0 61.0 61.0 26873.0 119375.0 17028.0 773589.0 5804.0 8000.0 445009.0 359541.0 9478.0 9478.0 359595.0 1056.0 4834.0 122.0 15.0,-loop-fusion,opt -reassociate -loop-instsimplify -instnamer -inject-tli-mappings -licm -partially-inline-libcalls -prune-eh -constmerge -nary-reassociate -ipconstprop -gvn-hoist -separate-const-offset-from-gep -lcssa -adce -instsimplify -loop-rotate -aggressive-instcombine -die -float2int -loop-unroll-and-jam -inferattrs -forceattrs -mem2reg -deadargelim -callsite-splitting -name-anon-globals -functionattrs -pgo-memop-opt -dce -load-store-vectorizer -loop-fusion input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,2610132.0 1140131.0 0.55 1754962.0 0.0 0.0 0.0 0.75 0.0 0.0 0.0 61.0 61.0 26873.0 119375.0 17028.0 773589.0 5804.0 8000.0 445009.0 359541.0 9478.0 9478.0 359595.0 1056.0 4834.0 122.0 15.0,2610132.0 1140131.0 0.55 1754962.0 0.0 0.0 0.0 0.75 0.0 0.0 0.0 61.0 61.0 26873.0 119375.0 17028.0 773589.0 5804.0 8000.0 445009.0 359541.0 9478.0 9478.0 359595.0 1056.0 4834.0 122.0 15.0,-cross-dso-cfi,opt -reassociate -loop-instsimplify -instnamer -inject-tli-mappings -licm -partially-inline-libcalls -prune-eh -constmerge -nary-reassociate -ipconstprop -gvn-hoist -separate-const-offset-from-gep -lcssa -adce -instsimplify -loop-rotate -aggressive-instcombine -die -float2int -loop-unroll-and-jam -inferattrs -forceattrs -mem2reg -deadargelim -callsite-splitting -name-anon-globals -functionattrs -pgo-memop-opt -dce -load-store-vectorizer -loop-fusion -cross-dso-cfi input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,2610132.0 1140131.0 0.55 1754962.0 0.0 0.0 0.0 0.75 0.0 0.0 0.0 61.0 61.0 26873.0 119375.0 17028.0 773589.0 5804.0 8000.0 445009.0 359541.0 9478.0 9478.0 359595.0 1056.0 4834.0 122.0 15.0,2610132.0 1140131.0 0.55 1754962.0 0.0 0.0 0.0 0.75 0.0 0.0 0.0 61.0 61.0 26873.0 119375.0 17028.0 773589.0 5804.0 8000.0 445009.0 359541.0 9478.0 9478.0 359595.0 1056.0 4834.0 122.0 15.0,-elim-avail-extern,opt -reassociate -loop-instsimplify -instnamer -inject-tli-mappings -licm -partially-inline-libcalls -prune-eh -constmerge -nary-reassociate -ipconstprop -gvn-hoist -separate-const-offset-from-gep -lcssa -adce -instsimplify -loop-rotate -aggressive-instcombine -die -float2int -loop-unroll-and-jam -inferattrs -forceattrs -mem2reg -deadargelim -callsite-splitting -name-anon-globals -functionattrs -pgo-memop-opt -dce -load-store-vectorizer -loop-fusion -cross-dso-cfi -elim-avail-extern input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,2610132.0 1140131.0 0.55 1754962.0 0.0 0.0 0.0 0.75 0.0 0.0 0.0 61.0 61.0 26873.0 119375.0 17028.0 773589.0 5804.0 8000.0 445009.0 359541.0 9478.0 9478.0 359595.0 1056.0 4834.0 122.0 15.0,2610132.0 1140131.0 0.55 1754962.0 0.0 0.0 0.0 0.75 0.0 0.0 0.0 61.0 61.0 26873.0 119375.0 17028.0 773589.0 5804.0 8000.0 445009.0 359541.0 9478.0 9478.0 359595.0 1056.0 4834.0 122.0 15.0,-jump-threading,opt -reassociate -loop-instsimplify -instnamer -inject-tli-mappings -licm -partially-inline-libcalls -prune-eh -constmerge -nary-reassociate -ipconstprop -gvn-hoist -separate-const-offset-from-gep -lcssa -adce -instsimplify -loop-rotate -aggressive-instcombine -die -float2int -loop-unroll-and-jam -inferattrs -forceattrs -mem2reg -deadargelim -callsite-splitting -name-anon-globals -functionattrs -pgo-memop-opt -dce -load-store-vectorizer -loop-fusion -cross-dso-cfi -elim-avail-extern -jump-threading input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,2610132.0 1140131.0 0.55 1754962.0 0.0 0.0 0.0 0.75 0.0 0.0 0.0 61.0 61.0 26873.0 119375.0 17028.0 773589.0 5804.0 8000.0 445009.0 359541.0 9478.0 9478.0 359595.0 1056.0 4834.0 122.0 15.0,2610132.0 1140131.0 0.55 1754962.0 0.0 0.0 0.0 0.75 0.0 0.0 0.0 61.0 61.0 26873.0 119375.0 17028.0 773589.0 5804.0 8000.0 445009.0 359541.0 9478.0 9478.0 359595.0 1056.0 4834.0 122.0 15.0,-early-cse-memssa,opt -reassociate -loop-instsimplify -instnamer -inject-tli-mappings -licm -partially-inline-libcalls -prune-eh -constmerge -nary-reassociate -ipconstprop -gvn-hoist -separate-const-offset-from-gep -lcssa -adce -instsimplify -loop-rotate -aggressive-instcombine -die -float2int -loop-unroll-and-jam -inferattrs -forceattrs -mem2reg -deadargelim -callsite-splitting -name-anon-globals -functionattrs -pgo-memop-opt -dce -load-store-vectorizer -loop-fusion -cross-dso-cfi -elim-avail-extern -jump-threading -early-cse-memssa input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,2610132.0 1140131.0 0.55 1754962.0 0.0 0.0 0.0 0.75 0.0 0.0 0.0 61.0 61.0 26873.0 119375.0 17028.0 773589.0 5804.0 8000.0 445009.0 359541.0 9478.0 9478.0 359595.0 1056.0 4834.0 122.0 15.0,2610132.0 1140131.0 0.55 1754962.0 0.0 0.0 0.0 0.75 0.0 0.0 0.0 61.0 61.0 26873.0 119375.0 17028.0 773589.0 5804.0 8000.0 445009.0 359541.0 9478.0 9478.0 359595.0 1056.0 4834.0 122.0 15.0,-sancov,opt -reassociate -loop-instsimplify -instnamer -inject-tli-mappings -licm -partially-inline-libcalls -prune-eh -constmerge -nary-reassociate -ipconstprop -gvn-hoist -separate-const-offset-from-gep -lcssa -adce -instsimplify -loop-rotate -aggressive-instcombine -die -float2int -loop-unroll-and-jam -inferattrs -forceattrs -mem2reg -deadargelim -callsite-splitting -name-anon-globals -functionattrs -pgo-memop-opt -dce -load-store-vectorizer -loop-fusion -cross-dso-cfi -elim-avail-extern -jump-threading -early-cse-memssa -sancov input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,2610132.0 1140131.0 0.55 1754962.0 0.0 0.0 0.0 0.75 0.0 0.0 0.0 61.0 61.0 26873.0 119375.0 17028.0 773589.0 5804.0 8000.0 445009.0 359541.0 9478.0 9478.0 359595.0 1056.0 4834.0 122.0 15.0,2610132.0 1140131.0 0.55 1754962.0 0.0 0.0 0.0 0.75 0.0 0.0 0.0 61.0 61.0 26873.0 119375.0 17028.0 773589.0 5804.0 8000.0 445009.0 359541.0 9478.0 9478.0 359595.0 1056.0 4834.0 122.0 15.0,-post-inline-ee-instrument,opt -reassociate -loop-instsimplify -instnamer -inject-tli-mappings -licm -partially-inline-libcalls -prune-eh -constmerge -nary-reassociate -ipconstprop -gvn-hoist -separate-const-offset-from-gep -lcssa -adce -instsimplify -loop-rotate -aggressive-instcombine -die -float2int -loop-unroll-and-jam -inferattrs -forceattrs -mem2reg -deadargelim -callsite-splitting -name-anon-globals -functionattrs -pgo-memop-opt -dce -load-store-vectorizer -loop-fusion -cross-dso-cfi -elim-avail-extern -jump-threading -early-cse-memssa -sancov -post-inline-ee-instrument input.bc -o output.bc,0.0
benchmark://poj104-small-v0/1_17,2610132.0 1140131.0 0.55 1754962.0 0.0 0.0 0.0 0.75 0.0 0.0 0.0 61.0 61.0 26873.0 119375.0 17028.0 773589.0 5804.0 8000.0 445009.0 359541.0 9478.0 9478.0 359595.0 1056.0 4834.0 122.0 15.0,2610132.0 1140131.0 0.55 1754962.0 0.0 0.0 0.0 0.75 0.0 0.0 0.0 61.0 61.0 26873.0 119375.0 17028.0 773589.0 5804.0 8000.0 445009.0 359541.0 9478.0 9478.0 359595.0 1056.0 4834.0 122.0 15.0,-lower-guard-intrinsic,opt -reassociate -loop-instsimplify -instnamer -inject-tli-mappings -licm -partially-inline-libcalls -prune-eh -constmerge -nary-reassociate -ipconstprop -gvn-hoist -separate-const-offset-from-gep -lcssa -adce -instsimplify -loop-rotate -aggressive-instcombine -die -float2int -loop-unroll-and-jam -inferattrs -forceattrs -mem2reg -deadargelim -callsite-splitting -name-anon-globals -functionattrs -pgo-memop-opt -dce -load-store-vectorizer -loop-fusion -cross-dso-cfi -elim-avail-extern -jump-threading -early-cse-memssa -sancov -post-inline-ee-instrument -lower-guard-intrinsic input.bc -o output.bc,0.0
